;statement;issue;person;channel;truth
10857;“Don’t buy the new Pepsi can coming out with pics of the Empire State building and the Pledge of Allegiance on them. Pepsi left out 2 little words in the pledge ‘Under God.’”;patriotism;Facebook posts; in a Facebook post;false
10858;"""At the Democratic convention, the Pledge of Allegiance was read with the words 'under God' removed.""";patriotism;Republican Party of Wisconsin; in Campaign mailer;barely-true
10859;“Joe Biden completely botches the Pledge of Allegiance.”;patriotism;X posts; in a tweet;false
10860;Students no longer say the Pledge of Allegiance in schools.;patriotism;Viral image; in a Facebook post;false
10861;“McDonald’s removes their American flags in support of Antifa & BLM nationwide.”;patriotism;Facebook posts; in a Facebook post;false
10862;“Kroger Corporate says employees can not wear flag masks but they can wear BLM masks!”;patriotism;Facebook posts; in a Facebook post;false
10863;Olive Garden employees are allowed to wear Black Lives Matter masks “but NOT the American flag.”;patriotism;Facebook posts; in a Facebook post;false
10864;"NFL player “stood alone"" while his whole team stayed in the locker room during the national anthem, “a real American patriot!”";patriotism;Viral image; in a viral image;half-true
10865;“Speaker Pelosi presents a special ‘service flag’ to Mr. Floyd’s family.”;patriotism;Bloggers; in a blog post;barely-true
10866;Says Joe Biden’s campaign told an Iowa library where Jill Biden was holding an event “to remove the American flag as they did not want to say the pledge of allegiance.”;patriotism;Viral image; in a Facebook post;false
10867;"""Ilhan Omar just hosted a flag burning party.""";patriotism;Facebook posts; in a Facebook post;pants-fire
10868;"Says Barbara Walters said Jane Fonda ""betrayed not only the idea of our country, but specific men who served and sacrificed during the Vietnam War.""";patriotism;Facebook posts; in a post on Facebook;false
10869;"Says Ilhan Omar ""partied"" on the anniversary of 9/11.";patriotism;Donald Trump; in a retweet from his account;pants-fire
10870;"Soccer players on the U.S. women’s national team ""stomped"" on the American flag.";patriotism;Facebook posts; in a Facebook post;false
10871;"Says Rep. Alexandria Ocasio-Cortez ""called our country and our people garbage.""";patriotism;Donald Trump; in a speech to conservative high school students;false
10872;"The ""establishment media ignored"" President Donald Trump’s Fourth of July event.";patriotism;Breitbart; in a post on Facebook;false
10873;There were no American flags at the first Democratic presidential debate.;patriotism;Viral image; in a post on Facebook;false
10874;"Says Beto O’Rourke's campaign ""told Texas VFW to remove their American flag"" because O'Rourke has ""an aversion to the American flag and symbols of patriotism.""";patriotism;Bloggers; in a blog post;barely-true
10875;Says Beto O’Rourke said he’s grateful that people are burning or desecrating the American flag.;patriotism;Ted Cruz; in a video;false
10876;ABC News recently banned reporters from wearing American flag lapel pins on air.;patriotism;Bloggers; in in a blog;false
10877;"Tammy Baldwin ""opposed displaying the flag and reciting the Pledge of Allegiance or singing the National Anthem in our classrooms.""";patriotism;Leah Vukmir; in a tweet;barely-true
10878;"Says Tammy Baldwin is ""more worried about the mastermind of 9/11"" than supporting CIA director nominee Gina Haspel.";patriotism;Leah Vukmir; in an interview;pants-fire
10879;On NFL players protesting during the national anthem.;patriotism;Scott Walker; in news release;half-flip
10880;"Says Winston Churchill said, ""A lie gets halfway around the world before the truth has a chance to get its pants on.""";patriotism;Colin Kaepernick; in a tweet;false
10881;"Says Michelle Obama ""said she was never proud of her country til they elected her husband POTUS.""";patriotism;David A. Clarke Jr.; in a tweet;false
10882;Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.;patriotism;Bloggers; in Townhall.com ;true
10883;"""(Deborah) Ross defends those who want to burn the American flag, and even called efforts to ban flag-burning ‘ridiculous,’ yet refused to help a disabled veteran fly the flag.""";patriotism;Senate Leadership Fund; in a TV ad;mostly-true
10884;"""Not one American flag on the massive stage at the Democratic National Convention until people started complaining- then a small one. Pathetic.""";patriotism;Donald Trump; in a tweet;half-true
10885;"Says North Carolina is ""home of the largest military installations in the world.""";patriotism;North Carolina Republican Party; in a roll call at the Republican National Convention;mostly-true
10886;"""Al Franken said almost exactly what Trump said"" about John McCain’s military record.";patriotism;Rush Limbaugh; in a segment on his radio show;half-true
10887;"""The founders of New Hampshire came up with the motto Live Free or Die.""";patriotism;Rand Paul; in a town hall meeting in Milford, NH;false
10888;"""Thomas Paine wrote that ‘the duty of a patriot is to protect his country from his government.’""";patriotism;Rick Perry; in a speech;false
10889;"Says President Barack Obama said ""that American exceptionalism is no more exceptional than the exceptionalism of any other country.""";patriotism;Rudy Giuliani; in an op-ed in the 'Wall Street Journal';false
10890;"Says Michele Bachmann said ""English was good enough for Jesus when he wrote the Bible.""";patriotism;Facebook posts; in a photo-quotation posted to Facebook;pants-fire
10891;"Says Americans ""invented ‘Pong,’ ‘Space Invaders’ and the iPhone.""";patriotism;Ted Cruz; in the commencement address at Hillsdale College;half-true
10892;"""Q: What do these ‘Patriotic' Americans have in common? A: They are all Draft Dodgers.""";patriotism;Liberals Are Cool; in an Internet meme;pants-fire
10893;"Says he ""has repeatedly praised Chuck Hagel’s character, patriotism, bravery, and personal service defending our nation.""";patriotism;Ted Cruz; in a news article.;half-true
10894;"Says ""Tammy Baldwin had the opportunity to vote to honor the victims of 9/11 and she voted against it.""";patriotism;Tommy Thompson; in a television ad;barely-true
10895;Says  Sherrod Brown’s campaign attacked Josh Mandel’s military service;patriotism;Josh Mandel; in a campaign email;barely-true
10896;"On new dollar coins, ""'In God We Trust' is gone!""";patriotism;Chain email; in a chain email;false
10897;"""Fireworks have never been safer, and their use continues to increase each year.""";patriotism;Bill Weimer; in a newspaper column;true
10898;"Says ""a lip-reading instructor at the River School, a Washington, D.C., school for the deaf"" has determined that during 9/11 ceremonies, Michelle Obama said, ""All this for a damn flag.""";patriotism;Chain email; in a message forwarded to many people;pants-fire
10899;"Says President Barack Obama ""is a socialist.""";patriotism;Rick Perry; in a Republican debate in New Hampshire.;pants-fire
10900;Says Florida U.S. Reps. Corrine Brown, Alcee Hastings and Frederica Wilson are Socialists.;patriotism;Bloggers; in various web pages;pants-fire
10901;Says Allen West violated federal law by scuba diving with U.S. flag.;patriotism;Bloggers; in a blog;false
10902;"A New York imam wants to ""have a mosque at Ground Zero.''";patriotism;Rick Lazio;" in Fox News ""Hannity"" program.";barely-true
10903;"""He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.""";patriotism;Alexi Giannoulias; in a campaign commercial;true
10904;"Several times, Obama ""has apologized for what he deems to be American arrogance, dismissiveness, and derision; for dictating solutions, for acting unilaterally ... .""";patriotism;Mitt Romney;" in his book ""No Apology.""";false
10905;"On the new dollar coins, ""'In God We Trust' is gone!""";patriotism;Chain email; in a message circulated to many people.;false
10906;"""The Obama Administration wants to have soldiers and officers pledge a loyalty  oath directly to the office of the President, and no longer to the Constitution.""";patriotism;Chain email; in in many blogs and an email sent to many people.;pants-fire
10907;"Says Obama wants to redesign the American flag ""to better offer our enemies hope and love.""";patriotism;Chain email; in a widely circulated e-mail;pants-fire
10908;"""(Bill) Ayers and Obama ran a radical education foundation together.""";patriotism;John McCain; in a Web ad;pants-fire
10909;Says Obama replaced the American flag on the tail of his plane with his campaign logo.;patriotism;Chain email; in a widely circulated chain e-mail.;mostly-true
10910;McCain tells of a fellow Vietnam POW who was beaten for fashioning an American flag that became an inspirational symbol to fellow POWs.;patriotism;Chain email;;true
10911;"Rev. Wright said ""that al-Qaida and the American flag were the same flags.""";patriotism;John McCain; in Coral Gables, Fla.;barely-true
10912;"Obama thinks the national anthem should be ""I'd Like to Teach the World to Sing.""";patriotism;Chain email; in in a chain email;pants-fire
10913;"""I have never said that I don't wear flag pins or refuse to wear flag pins.""";patriotism;Barack Obama; in Philadelphia;false
10914;"Obama says America is great, but let's ""try to change it.""";patriotism;Bloggers; in a blog posting;pants-fire
